,n,m,k_avg,edge_length_total,edge_length_avg,streets_per_node_avg,intersection_count,street_length_total,street_segment_count,street_length_avg,circuity_avg,intersection_density_km2,street_density_km2,area_km2,p_walk,p_tpc,p_sitva,p_auto,p_moto,p_taxi,p_bike
n,1.0,0.9840367232848332,0.5404348124098457,0.9271793062068119,-0.20111235111508444,0.06315578255745266,0.9861294166577006,0.933202814562179,0.993833089008583,-0.1977177924537604,-0.01320441988450602,0.35283156374218283,0.43177442881913985,0.553832021445842,0.047469474553503324,0.11642350213955835,-0.07881023746500232,0.07345173260851472,0.04931725324866247,0.08917309916235304,0.10870008130942237
m,0.9840367232848332,1.0,0.6738432409208632,0.929700491871763,-0.2495813809857975,0.05073307420085387,0.9672905776961772,0.9055573235481843,0.9809644484223775,-0.2417527384027876,-0.013939648459382305,0.37672065002453287,0.4486058457772908,0.5217923845078868,0.13564440327636149,0.09798845725912897,-0.09044557573818772,0.005124041226933441,0.03930915130248408,0.06080666927600191,0.09711282547859497
k_avg,0.5404348124098457,0.6738432409208632,1.0,0.5718012149852093,-0.38718923271837535,0.016069736140758795,0.521528037320086,0.4390276464234164,0.5504914895925389,-0.3630774998857266,-0.01912169858327966,0.3861624819873243,0.40202857212869436,0.15778085646225593,0.4470583031611493,-0.012774662421035933,-0.07782204840734389,-0.27993261320291174,-0.028675023095643695,-0.04042872239492218,0.014617744876777403
edge_length_total,0.9271793062068119,0.929700491871763,0.5718012149852093,1.0,0.05377269507937465,-0.0827171289989415,0.8890057929072528,0.9772966087341685,0.9082531981801226,0.059508255711810676,0.15989599629562404,0.13173382350646462,0.254626118803082,0.7135915333202968,0.03362811136605372,0.11749376991674298,-0.10412139576454636,0.03040133532244544,0.09554332005840857,-0.030887693000527197,0.09065693982782785
edge_length_avg,-0.20111235111508444,-0.2495813809857975,-0.38718923271837535,0.05377269507937465,1.0,-0.36462987280287196,-0.2524573453170692,0.07427093331415946,-0.23956040209730536,0.9880745111600123,0.49502085656454003,-0.722480442867048,-0.5528008085276541,0.4246058823716337,-0.32410494632713416,0.04376208243083473,-0.028076941127907314,0.12449521071946078,0.10255313518227481,-0.2024045774095949,-0.04896748396974457
streets_per_node_avg,0.06315578255745266,0.05073307420085387,0.016069736140758795,-0.0827171289989415,-0.36462987280287196,1.0,0.19661544394805586,0.011258196861303155,0.14750809411755678,-0.3493621736003598,-0.6865560731371758,0.6634627354598611,0.664970721954972,-0.4107465018249996,-0.09386059776114979,0.07582877162908454,0.14164939261281742,0.19552992704471145,0.0611926754563554,0.28606555295112357,0.1401500961594103
intersection_count,0.9861294166577006,0.9672905776961772,0.521528037320086,0.8890057929072528,-0.2524573453170692,0.19661544394805586,1.0,0.9113041995932815,0.9948921128991651,-0.24814146499308715,-0.10346141409138707,0.4440201603038779,0.5188435994384366,0.4818381286433417,0.028013185315074397,0.12597412713044173,-0.06230080179678903,0.10625540179809959,0.05124836866166627,0.12847175416966006,0.12193084997863453
street_length_total,0.933202814562179,0.9055573235481843,0.4390276464234164,0.9772966087341685,0.07427093331415946,0.011258196861303155,0.9113041995932815,1.0,0.9224915440751182,0.08243370845850773,0.10485955653435935,0.1522180228266112,0.28640794496328087,0.7066721506967452,-0.05153562361428096,0.1492615977567586,-0.0654353145990519,0.10117920471472198,0.1130309566151723,0.013184285636494677,0.12215040611306013
street_segment_count,0.993833089008583,0.9809644484223775,0.5504914895925389,0.9082531981801226,-0.23956040209730536,0.14750809411755678,0.9948921128991651,0.9224915440751182,1.0,-0.2344766066433984,-0.07375255933820354,0.4106874494898547,0.49223013977827285,0.5092371530636461,0.05027094866543054,0.1235734405615284,-0.0638558298084299,0.08050193073690197,0.05162158571613838,0.10837498581896891,0.12217090569103088
street_length_avg,-0.1977177924537604,-0.2417527384027876,-0.3630774998857266,0.059508255711810676,0.9880745111600123,-0.3493621736003598,-0.24814146499308715,0.08243370845850773,-0.2344766066433984,1.0,0.4869499976024778,-0.7134582584887649,-0.5360945949656927,0.4255687811722598,-0.3083604903200975,0.06847836125381371,-0.008549540176212926,0.09961835929665337,0.11233927156238564,-0.212558442454232,-0.03318803747910717
circuity_avg,-0.01320441988450602,-0.013939648459382305,-0.01912169858327966,0.15989599629562404,0.49502085656454003,-0.6865560731371758,-0.10346141409138707,0.10485955653435935,-0.07375255933820354,0.4869499976024778,1.0,-0.5796714409889607,-0.5418504116508988,0.46245066637185145,0.015353024249367778,-0.030277667352354033,-0.15746653641269448,-0.09733724968518351,0.0017927465144412839,-0.29547269871854864,-0.06590317072539183
intersection_density_km2,0.35283156374218283,0.37672065002453287,0.3861624819873243,0.13173382350646462,-0.722480442867048,0.6634627354598611,0.4440201603038779,0.1522180228266112,0.4106874494898547,-0.7134582584887649,-0.5796714409889607,1.0,0.954182958645294,-0.46904872266982595,0.18341911577426054,-0.016232146760644127,0.07682747633227802,0.021255703335064144,-0.07543811352234442,0.2598633012301442,0.06415912793060412
street_density_km2,0.43177442881913985,0.4486058457772908,0.40202857212869436,0.254626118803082,-0.5528008085276541,0.664970721954972,0.5188435994384366,0.28640794496328087,0.49223013977827285,-0.5360945949656927,-0.5418504116508988,0.954182958645294,1.0,-0.35771500728197553,0.1176606124208383,0.020534449199821374,0.10569099640503218,0.058504617025928615,-0.03374107323980041,0.24888098923318014,0.08961391771803207
area_km2,0.553832021445842,0.5217923845078868,0.15778085646225593,0.7135915333202968,0.4246058823716337,-0.4107465018249996,0.4818381286433417,0.7066721506967452,0.5092371530636461,0.4255687811722598,0.46245066637185145,-0.46904872266982595,-0.35771500728197553,1.0,-0.15325409510914034,0.10783218208366493,-0.10982565830433755,0.1045322425938911,0.0918334160761131,-0.14723501714163784,0.028036821732230145
p_walk,0.047469474553503324,0.13564440327636149,0.4470583031611493,0.03362811136605372,-0.32410494632713416,-0.09386059776114979,0.028013185315074397,-0.05153562361428096,0.05027094866543054,-0.3083604903200975,0.015353024249367778,0.18341911577426054,0.1176606124208383,-0.15325409510914034,1.0,-0.11212354271927479,-0.10140226872983067,-0.671321447809806,-0.1550251587584071,-0.2297009227979305,-0.07455346898881238
p_tpc,0.11642350213955835,0.09798845725912897,-0.012774662421035933,0.11749376991674298,0.04376208243083473,0.07582877162908454,0.12597412713044173,0.1492615977567586,0.1235734405615284,0.06847836125381371,-0.030277667352354033,-0.016232146760644127,0.020534449199821374,0.10783218208366493,-0.11212354271927479,1.0,-0.0833202244630116,-0.20260607418121362,0.017468449218875592,-0.05605774447917955,0.04551670412574687
p_sitva,-0.07881023746500232,-0.09044557573818772,-0.07782204840734389,-0.10412139576454636,-0.028076941127907314,0.14164939261281742,-0.06230080179678903,-0.0654353145990519,-0.0638558298084299,-0.008549540176212926,-0.15746653641269448,0.07682747633227802,0.10569099640503218,-0.10982565830433755,-0.10140226872983067,-0.0833202244630116,1.0,-0.1791956212984167,-0.05681763258640812,0.025285132274915297,0.007460614818116984
p_auto,0.07345173260851472,0.005124041226933441,-0.27993261320291174,0.03040133532244544,0.12449521071946078,0.19552992704471145,0.10625540179809959,0.10117920471472198,0.08050193073690197,0.09961835929665337,-0.09733724968518351,0.021255703335064144,0.058504617025928615,0.1045322425938911,-0.671321447809806,-0.20260607418121362,-0.1791956212984167,1.0,-0.012767999404227449,0.2781154720783898,0.10194188415858142
p_moto,0.04931725324866247,0.03930915130248408,-0.028675023095643695,0.09554332005840857,0.10255313518227481,0.0611926754563554,0.05124836866166627,0.1130309566151723,0.05162158571613838,0.11233927156238564,0.0017927465144412839,-0.07543811352234442,-0.03374107323980041,0.0918334160761131,-0.1550251587584071,0.017468449218875592,-0.05681763258640812,-0.012767999404227449,1.0,-0.062152330756270635,0.10884090980207202
p_taxi,0.08917309916235304,0.06080666927600191,-0.04042872239492218,-0.030887693000527197,-0.2024045774095949,0.28606555295112357,0.12847175416966006,0.013184285636494677,0.10837498581896891,-0.212558442454232,-0.29547269871854864,0.2598633012301442,0.24888098923318014,-0.14723501714163784,-0.2297009227979305,-0.05605774447917955,0.025285132274915297,0.2781154720783898,-0.062152330756270635,1.0,0.05128768682484729
p_bike,0.10870008130942237,0.09711282547859497,0.014617744876777403,0.09065693982782785,-0.04896748396974457,0.1401500961594103,0.12193084997863453,0.12215040611306013,0.12217090569103088,-0.03318803747910717,-0.06590317072539183,0.06415912793060412,0.08961391771803207,0.028036821732230145,-0.07455346898881238,0.04551670412574687,0.007460614818116984,0.10194188415858142,0.10884090980207202,0.05128768682484729,1.0
